,Full Name,Year,Tm,FG%,Dist.,2P_A,0-3_A,3-10_A,10-16_A,16-3pt_A,3P_A,2P%,0-3%,3-10%,10-16%,16-3pt%,3P%,Astd_2P,Dunk%,Dunks_Md,Astd_3P,%Corner3_A,Corner_3P%,Heaves_A,Heaves_Md
5,Leon Powe,2010,CLE,0.492,5.3,1.0,0.593,0.203,0.068,0.136,0.0,0.492,0.543,0.5,0.5,0.25,,0.759,0.119,6.0,,,,0.0,0.0
6,Leon Powe,2010,MEM,0.5,7.3,0.967,0.383,0.4,0.067,0.117,0.033,0.517,0.609,0.417,0.25,0.714,0.0,0.567,0.017,1.0,,0.0,,0.0,0.0
0,Dwight Powell,2014,TOT,0.463,11.5,0.836,0.358,0.104,0.075,0.299,0.164,0.5,0.708,0.0,0.8,0.35,0.273,0.714,0.104,5.0,1.0,0.273,0.333,0.0,0.0
1,Dwight Powell,2014,BOS,0.8,1.2,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,,,,,0.5,0.2,1.0,,,,0.0,0.0
2,Dwight Powell,2014,DAL,0.435,12.4,0.823,0.306,0.113,0.081,0.323,0.177,0.471,0.684,0.0,0.8,0.35,0.273,0.75,0.097,4.0,1.0,0.273,0.333,0.0,0.0
3,Dwight Powell,2015,DAL,0.493,8.4,0.946,0.473,0.108,0.071,0.294,0.054,0.514,0.714,0.25,0.333,0.333,0.125,0.889,0.149,38.0,1.0,0.375,0.333,0.0,0.0
4,Dwight Powell,2016,DAL,0.515,10.4,0.804,0.446,0.103,0.053,0.199,0.196,0.571,0.762,0.385,0.4,0.293,0.284,0.838,0.146,54.0,1.0,0.216,0.125,1.0,0.0
5,Dwight Powell,2017,DAL,0.593,7.9,0.805,0.549,0.156,0.03,0.07,0.195,0.656,0.775,0.418,0.308,0.4,0.333,0.828,0.251,96.0,1.0,0.155,0.615,2.0,0.0
6,Dwight Powell,2018,DAL,0.597,8.6,0.739,0.578,0.123,0.014,0.023,0.261,0.699,0.797,0.417,0.143,0.091,0.307,0.841,0.216,99.0,1.0,0.087,0.364,0.0,0.0
0,Josh Powell,2005,DAL,0.457,8.2,1.0,0.358,0.272,0.099,0.272,0.0,0.457,0.586,0.318,0.5,0.409,,0.649,0.062,5.0,,,,0.0,0.0
1,Josh Powell,2006,TOT,0.462,9.6,1.0,0.333,0.172,0.151,0.344,0.0,0.462,0.581,0.563,0.5,0.281,,0.674,0.032,3.0,,,,0.0,0.0
2,Josh Powell,2006,IND,0.133,10.2,1.0,0.4,0.067,0.067,0.467,0.0,0.133,0.333,0.0,0.0,0.0,,0.5,0.0,0.0,,,,0.0,0.0
3,Josh Powell,2006,GSW,0.526,9.5,1.0,0.321,0.192,0.167,0.321,0.0,0.526,0.64,0.6,0.538,0.36,,0.683,0.038,3.0,,,,0.0,0.0
4,Josh Powell,2007,LAC,0.46,7.6,0.99,0.441,0.149,0.206,0.194,0.01,0.465,0.561,0.383,0.4,0.377,0.0,0.683,0.07,20.0,,0.0,,0.0,0.0
5,Josh Powell,2008,LAL,0.444,9.0,1.0,0.368,0.163,0.184,0.285,0.0,0.444,0.557,0.205,0.523,0.382,,0.736,0.079,17.0,,,,0.0,0.0
6,Josh Powell,2009,LAL,0.366,10.8,0.918,0.314,0.144,0.16,0.299,0.082,0.36,0.492,0.321,0.258,0.293,0.438,0.641,0.072,12.0,1.0,0.563,0.667,0.0,0.0
7,Josh Powell,2010,ATL,0.452,10.8,0.995,0.284,0.168,0.183,0.361,0.005,0.454,0.525,0.429,0.421,0.427,0.0,0.66,0.053,10.0,,1.0,0.0,0.0,0.0
8,Josh Powell,2013,HOU,0.333,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.333,,0.333,,,,1.0,0.0,0.0,,,,0.0,0.0
0,Kasib Powell,2007,MIA,0.368,12.9,0.653,0.284,0.137,0.168,0.063,0.347,0.435,0.519,0.385,0.375,0.333,0.242,0.37,0.032,3.0,0.875,0.424,0.286,0.0,0.0
0,Norman Powell,2015,TOR,0.424,13.7,0.611,0.279,0.109,0.083,0.144,0.389,0.436,0.609,0.12,0.316,0.394,0.404,0.344,0.061,14.0,0.944,0.461,0.512,0.0,0.0
1,Norman Powell,2016,TOR,0.449,11.8,0.658,0.411,0.128,0.03,0.091,0.342,0.514,0.606,0.354,0.2,0.413,0.324,0.263,0.067,31.0,0.946,0.445,0.338,0.0,0.0
2,Norman Powell,2017,TOR,0.401,14.6,0.503,0.278,0.134,0.04,0.051,0.497,0.516,0.596,0.42,0.4,0.421,0.285,0.412,0.043,14.0,0.925,0.333,0.29,0.0,0.0
3,Norman Powell,2018,TOR,0.483,13.7,0.575,0.383,0.103,0.038,0.053,0.425,0.543,0.621,0.512,0.267,0.238,0.4,0.552,0.053,20.0,0.926,0.312,0.472,3.0,0.0
0,Roger Powell,2006,UTA,0.0,8.0,0.667,0.667,0.0,0.0,0.0,0.333,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,,0.0,0.0
0,Alex Poythress,2016,PHI,0.463,10.8,0.648,0.5,0.074,0.074,0.0,0.352,0.543,0.556,0.75,0.25,,0.316,0.579,0.037,2.0,1.0,0.316,0.5,0.0,0.0
1,Alex Poythress,2017,IND,0.423,12.2,0.577,0.462,0.077,0.0,0.038,0.423,0.467,0.583,0.0,,0.0,0.364,0.714,0.115,3.0,1.0,0.364,0.5,0.0,0.0
2,Alex Poythress,2018,ATL,0.494,8.4,0.716,0.617,0.074,0.0,0.025,0.284,0.534,0.6,0.167,,0.0,0.391,0.71,0.185,10.0,1.0,0.696,0.438,0.0,0.0
0,Phil Pressey,2013,BOS,0.308,16.5,0.581,0.229,0.091,0.059,0.202,0.419,0.34,0.517,0.174,0.2,0.255,0.264,0.18,0.008,2.0,0.857,0.066,0.143,1.0,0.0
1,Phil Pressey,2014,BOS,0.368,13.9,0.626,0.322,0.126,0.057,0.121,0.374,0.44,0.5,0.364,0.3,0.429,0.246,0.146,0.0,0.0,0.5,0.046,0.0,1.0,0.0
2,Phil Pressey,2015,TOT,0.385,10.1,0.769,0.462,0.115,0.051,0.141,0.231,0.433,0.583,0.111,0.5,0.182,0.222,0.115,0.038,1.0,0.5,0.056,0.0,1.0,0.0
3,Phil Pressey,2015,PHI,0.382,10.4,0.764,0.455,0.127,0.055,0.127,0.236,0.405,0.56,0.0,0.333,0.286,0.308,0.176,0.036,1.0,0.5,0.077,0.0,1.0,0.0
4,Phil Pressey,2015,PHO,0.391,9.3,0.783,0.478,0.087,0.043,0.174,0.217,0.5,0.636,0.5,1.0,0.0,0.0,0.0,0.043,0.0,,0.0,,0.0,0.0
0,A.J. Price,2009,IND,0.41,17.1,0.508,0.172,0.105,0.102,0.13,0.492,0.472,0.607,0.378,0.389,0.435,0.345,0.106,0.0,0.0,0.767,0.213,0.243,1.0,0.0
1,A.J. Price,2010,IND,0.356,18.9,0.534,0.069,0.128,0.163,0.175,0.466,0.427,0.591,0.415,0.423,0.375,0.275,0.11,0.0,0.0,0.659,0.04,0.167,4.0,0.0
2,A.J. Price,2011,IND,0.339,19.4,0.494,0.08,0.092,0.121,0.201,0.506,0.384,0.571,0.125,0.524,0.343,0.295,0.212,0.0,0.0,0.731,0.091,0.5,2.0,0.0
3,A.J. Price,2012,WAS,0.39,18.3,0.516,0.092,0.116,0.114,0.194,0.484,0.427,0.553,0.417,0.447,0.363,0.35,0.308,0.0,0.0,0.771,0.23,0.391,0.0,0.0
4,A.J. Price,2013,MIN,0.413,19.7,0.522,0.065,0.043,0.043,0.37,0.478,0.542,1.0,0.5,1.0,0.412,0.273,0.231,0.0,0.0,0.833,0.045,1.0,0.0,0.0
5,A.J. Price,2014,TOT,0.372,18.3,0.584,0.044,0.139,0.175,0.226,0.416,0.45,0.333,0.526,0.417,0.452,0.263,0.111,0.0,0.0,0.667,0.123,0.143,0.0,0.0
6,A.J. Price,2014,IND,0.438,18.8,0.562,0.034,0.146,0.169,0.213,0.438,0.48,0.333,0.385,0.533,0.526,0.385,0.083,0.0,0.0,0.667,0.077,0.333,0.0,0.0
7,A.J. Price,2014,CLE,0.265,16.2,0.676,0.088,0.176,0.206,0.206,0.324,0.391,0.333,0.833,0.143,0.286,0.0,0.222,0.0,0.0,,0.091,0.0,0.0,0.0
8,A.J. Price,2014,PHO,0.214,20.4,0.5,0.0,0.0,0.143,0.357,0.5,0.429,,,0.5,0.4,0.0,0.0,0.0,0.0,,0.429,0.0,0.0,0.0
0,Brent Price,2000,VAN,0.273,18.3,0.636,0.091,0.0,0.182,0.364,0.364,0.286,0.0,,0.5,0.25,0.25,1.0,0.0,0.0,1.0,0.0,,0.0,0.0
1,Brent Price,2001,SAC,0.333,18.5,0.444,0.148,0.074,0.037,0.185,0.556,0.417,0.75,0.0,1.0,0.2,0.267,0.2,0.0,0.0,0.75,0.0,,0.0,0.0
0,Ronnie Price,2005,SAC,0.362,17.3,0.534,0.276,0.0,0.017,0.241,0.466,0.484,0.688,,0.0,0.286,0.222,0.6,0.103,6.0,0.667,0.333,0.111,1.0,0.0
1,Ronnie Price,2006,SAC,0.39,14.5,0.622,0.308,0.058,0.081,0.174,0.378,0.43,0.491,0.3,0.143,0.5,0.323,0.5,0.035,6.0,0.81,0.138,0.222,1.0,0.0
2,Ronnie Price,2007,UTA,0.431,15.2,0.632,0.314,0.029,0.029,0.26,0.368,0.481,0.641,0.333,0.167,0.34,0.347,0.387,0.049,9.0,0.846,0.133,0.6,3.0,0.0
3,Ronnie Price,2008,UTA,0.379,14.3,0.7,0.305,0.054,0.064,0.276,0.3,0.408,0.484,0.273,0.385,0.357,0.311,0.362,0.054,10.0,0.789,0.131,0.375,0.0,0.0
4,Ronnie Price,2009,UTA,0.405,13.0,0.74,0.351,0.07,0.079,0.24,0.26,0.447,0.576,0.235,0.526,0.293,0.286,0.4,0.058,12.0,0.833,0.095,0.833,1.0,0.0
5,Ronnie Price,2010,UTA,0.352,14.9,0.671,0.31,0.043,0.081,0.238,0.329,0.383,0.569,0.111,0.059,0.3,0.29,0.481,0.057,9.0,0.95,0.246,0.294,3.0,0.0
6,Ronnie Price,2011,PHO,0.377,14.9,0.662,0.269,0.092,0.1,0.2,0.338,0.419,0.6,0.25,0.231,0.346,0.295,0.194,0.023,3.0,0.692,0.114,0.4,0.0,0.0
7,Ronnie Price,2012,POR,0.325,15.0,0.675,0.275,0.067,0.092,0.242,0.325,0.358,0.424,0.375,0.182,0.345,0.256,0.379,0.017,2.0,0.8,0.205,0.125,0.0,0.0
8,Ronnie Price,2013,ORL,0.304,18.3,0.533,0.207,0.054,0.022,0.25,0.467,0.388,0.368,0.6,1.0,0.304,0.209,0.316,0.054,4.0,0.667,0.163,0.0,1.0,0.0
9,Ronnie Price,2014,LAL,0.345,17.4,0.511,0.197,0.09,0.063,0.161,0.489,0.404,0.614,0.2,0.5,0.222,0.284,0.261,0.027,6.0,0.871,0.174,0.368,1.0,0.0
10,Ronnie Price,2015,PHO,0.384,19.1,0.351,0.142,0.06,0.046,0.106,0.649,0.453,0.628,0.278,0.429,0.313,0.347,0.083,0.02,6.0,0.868,0.276,0.463,1.0,0.0
11,Ronnie Price,2016,PHO,0.167,21.3,0.292,0.083,0.042,0.083,0.083,0.708,0.143,0.0,0.0,0.5,0.0,0.176,0.0,0.0,0.0,0.667,0.235,0.25,0.0,0.0
0,Pablo Prigioni,2012,NYK,0.455,18.1,0.391,0.2,0.077,0.064,0.05,0.609,0.547,0.705,0.412,0.214,0.545,0.396,0.34,0.0,0.0,0.358,0.142,0.421,1.0,0.0
1,Pablo Prigioni,2013,NYK,0.461,20.4,0.267,0.131,0.063,0.037,0.037,0.733,0.451,0.64,0.25,0.143,0.429,0.464,0.304,0.0,0.0,0.677,0.243,0.471,1.0,0.0
2,Pablo Prigioni,2014,TOT,0.399,21.0,0.272,0.118,0.048,0.053,0.053,0.728,0.548,0.63,0.364,0.5,0.583,0.343,0.471,0.0,0.0,0.807,0.157,0.308,2.0,0.0
3,Pablo Prigioni,2014,NYK,0.422,20.9,0.286,0.13,0.031,0.05,0.075,0.714,0.543,0.571,0.4,0.5,0.583,0.374,0.48,0.0,0.0,0.837,0.157,0.278,1.0,0.0
4,Pablo Prigioni,2014,HOU,0.343,21.3,0.239,0.09,0.09,0.06,0.0,0.761,0.563,0.833,0.333,0.5,,0.275,0.444,0.0,0.0,0.714,0.157,0.375,1.0,0.0
5,Pablo Prigioni,2015,LAC,0.374,19.2,0.354,0.19,0.068,0.075,0.02,0.646,0.519,0.643,0.4,0.273,0.667,0.295,0.148,0.0,0.0,0.571,0.116,0.455,4.0,0.0
0,Tayshaun Prince,2002,DET,0.449,15.3,0.602,0.212,0.136,0.102,0.153,0.398,0.465,0.64,0.438,0.333,0.333,0.426,0.545,0.034,4.0,0.95,0.277,0.385,0.0,0.0
1,Tayshaun Prince,2003,DET,0.467,11.6,0.783,0.311,0.163,0.12,0.188,0.217,0.496,0.631,0.381,0.414,0.426,0.363,0.58,0.068,48.0,0.982,0.382,0.483,0.0,0.0
2,Tayshaun Prince,2004,DET,0.487,10.6,0.857,0.339,0.16,0.126,0.233,0.143,0.512,0.653,0.461,0.413,0.393,0.341,0.585,0.081,73.0,0.979,0.536,0.365,0.0,0.0
3,Tayshaun Prince,2005,DET,0.455,12.3,0.817,0.281,0.131,0.134,0.27,0.183,0.479,0.662,0.42,0.351,0.381,0.35,0.634,0.084,78.0,0.953,0.536,0.378,1.0,0.0
4,Tayshaun Prince,2006,DET,0.46,11.7,0.789,0.299,0.177,0.131,0.183,0.211,0.48,0.611,0.42,0.344,0.423,0.386,0.561,0.069,66.0,0.938,0.524,0.445,1.0,0.0
5,Tayshaun Prince,2007,DET,0.448,12.3,0.845,0.289,0.126,0.126,0.304,0.155,0.463,0.629,0.364,0.322,0.406,0.363,0.535,0.062,55.0,0.962,0.432,0.413,1.0,0.0
6,Tayshaun Prince,2008,DET,0.45,12.4,0.862,0.228,0.179,0.156,0.298,0.138,0.458,0.618,0.443,0.365,0.395,0.397,0.459,0.051,47.0,0.964,0.674,0.453,0.0,0.0
7,Tayshaun Prince,2009,DET,0.486,12.5,0.874,0.233,0.167,0.148,0.326,0.126,0.503,0.689,0.433,0.419,0.444,0.37,0.494,0.057,31.0,1.0,0.603,0.386,0.0,0.0
8,Tayshaun Prince,2010,DET,0.473,12.2,0.902,0.204,0.187,0.202,0.31,0.098,0.486,0.794,0.433,0.371,0.39,0.347,0.485,0.056,54.0,0.971,0.765,0.387,0.0,0.0
9,Tayshaun Prince,2011,DET,0.421,13.1,0.87,0.199,0.169,0.168,0.333,0.13,0.431,0.648,0.296,0.433,0.368,0.356,0.505,0.03,18.0,1.0,0.615,0.359,1.0,0.0
10,Tayshaun Prince,2012,TOT,0.438,12.4,0.885,0.21,0.213,0.146,0.316,0.115,0.442,0.622,0.417,0.342,0.386,0.404,0.555,0.046,33.0,1.0,0.521,0.469,0.0,0.0
11,Tayshaun Prince,2012,DET,0.444,11.9,0.89,0.236,0.2,0.147,0.308,0.11,0.445,0.561,0.423,0.366,0.409,0.434,0.547,0.045,20.0,1.0,0.472,0.52,0.0,0.0
12,Tayshaun Prince,2012,MEM,0.429,13.2,0.878,0.173,0.232,0.146,0.327,0.122,0.437,0.741,0.41,0.306,0.355,0.366,0.566,0.048,13.0,1.0,0.585,0.417,0.0,0.0
13,Tayshaun Prince,2013,MEM,0.407,13.8,0.86,0.185,0.177,0.118,0.38,0.14,0.426,0.758,0.345,0.328,0.332,0.29,0.667,0.049,23.0,1.0,0.768,0.34,0.0,0.0
14,Tayshaun Prince,2014,TOT,0.44,14.1,0.833,0.172,0.154,0.157,0.351,0.167,0.436,0.594,0.339,0.365,0.433,0.463,0.596,0.03,10.0,0.968,0.701,0.511,0.0,0.0
15,Tayshaun Prince,2014,MEM,0.41,13.8,0.82,0.175,0.175,0.158,0.311,0.18,0.4,0.469,0.438,0.31,0.386,0.455,0.567,0.033,5.0,0.933,0.727,0.5,0.0,0.0
16,Tayshaun Prince,2014,BOS,0.559,13.9,0.864,0.169,0.153,0.237,0.305,0.136,0.549,0.9,0.444,0.357,0.556,0.625,0.429,0.017,1.0,1.0,0.5,0.75,0.0,0.0
17,Tayshaun Prince,2014,DET,0.431,14.5,0.838,0.169,0.131,0.125,0.413,0.163,0.433,0.63,0.143,0.45,0.439,0.423,0.707,0.031,4.0,1.0,0.731,0.474,0.0,0.0
18,Tayshaun Prince,2015,MIN,0.445,14.4,0.9,0.127,0.14,0.127,0.507,0.1,0.476,0.759,0.375,0.483,0.431,0.174,0.745,0.022,5.0,1.0,0.957,0.182,0.0,0.0
0,Laron Profit,2000,WAS,0.394,9.7,0.817,0.331,0.303,0.056,0.127,0.183,0.422,0.723,0.256,0.125,0.167,0.269,0.449,0.035,5.0,0.857,0.154,0.5,0.0,0.0
1,Laron Profit,2004,WAS,0.438,12.3,0.781,0.367,0.117,0.047,0.25,0.219,0.48,0.617,0.2,0.5,0.406,0.286,0.521,0.063,7.0,0.875,0.214,0.167,1.0,0.0
2,Laron Profit,2005,LAL,0.476,12.2,0.786,0.393,0.06,0.036,0.298,0.214,0.561,0.788,0.2,0.667,0.32,0.167,0.649,0.095,8.0,1.0,0.222,0.25,1.0,0.0
0,Gabe Pruitt,2007,BOS,0.359,16.7,0.692,0.154,0.103,0.051,0.385,0.308,0.407,0.5,0.25,0.0,0.467,0.25,0.364,0.026,1.0,1.0,0.333,0.5,0.0,0.0
1,Gabe Pruitt,2008,BOS,0.307,19.7,0.525,0.089,0.04,0.05,0.347,0.475,0.321,0.333,0.0,0.0,0.4,0.292,0.235,0.02,1.0,0.929,0.375,0.111,0.0,0.0
0,Joel Przybilla,2000,MIL,0.343,1.3,1.0,0.8,0.2,0.0,0.0,0.0,0.343,0.393,0.143,,,,0.833,0.143,4.0,,,,0.0,0.0
1,Joel Przybilla,2001,MIL,0.535,2.2,0.993,0.782,0.106,0.099,0.007,0.007,0.539,0.613,0.267,0.286,0.0,0.0,0.789,0.303,37.0,,0.0,,0.0,0.0
2,Joel Przybilla,2002,MIL,0.391,3.3,1.0,0.739,0.109,0.109,0.043,0.0,0.391,0.441,0.0,0.6,0.0,,0.667,0.065,3.0,,,,0.0,0.0
3,Joel Przybilla,2003,TOT,0.36,4.4,1.0,0.58,0.2,0.16,0.06,0.0,0.36,0.414,0.1,0.25,1.0,,0.611,0.08,4.0,,,,0.0,0.0
5,Joel Przybilla,2003,ATL,0.36,4.4,1.0,0.58,0.2,0.16,0.06,0.0,0.36,0.414,0.1,0.25,1.0,,0.611,0.08,4.0,,,,0.0,0.0
6,Joel Przybilla,2004,POR,0.598,2.9,1.0,0.727,0.153,0.072,0.048,0.0,0.598,0.694,0.373,0.333,0.25,,0.754,0.324,96.0,,,,0.0,0.0
7,Joel Przybilla,2005,POR,0.548,2.4,1.0,0.711,0.218,0.063,0.008,0.0,0.548,0.653,0.327,0.133,0.5,,0.672,0.272,56.0,,,,0.0,0.0
8,Joel Przybilla,2006,POR,0.474,4.6,1.0,0.615,0.154,0.192,0.038,0.0,0.474,0.583,0.25,0.267,0.667,,0.703,0.179,13.0,,,,0.0,0.0
9,Joel Przybilla,2007,POR,0.576,1.7,0.996,0.82,0.128,0.04,0.008,0.004,0.578,0.629,0.375,0.3,0.0,0.0,0.667,0.312,73.0,,0.0,,0.0,0.0
10,Joel Przybilla,2008,POR,0.625,1.2,0.996,0.859,0.134,0.004,0.0,0.004,0.627,0.654,0.472,0.0,,0.0,0.589,0.242,61.0,,0.0,,1.0,0.0
11,Joel Przybilla,2009,POR,0.523,0.6,1.0,0.942,0.047,0.012,0.0,0.0,0.523,0.556,0.0,0.0,,,0.689,0.128,11.0,,,,0.0,0.0
12,Joel Przybilla,2010,TOT,0.568,1.9,1.0,0.932,0.068,0.0,0.0,0.0,0.568,0.585,0.333,,,,0.64,0.114,3.0,,,,0.0,0.0
13,Joel Przybilla,2010,POR,0.618,1.9,1.0,0.912,0.088,0.0,0.0,0.0,0.618,0.645,0.333,,,,0.667,0.147,3.0,,,,0.0,0.0
14,Joel Przybilla,2010,CHA,0.4,1.8,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,,,,,0.5,0.0,0.0,,,,0.0,0.0
15,Joel Przybilla,2011,POR,0.458,2.6,1.0,0.729,0.229,0.0,0.042,0.0,0.458,0.6,0.091,,0.0,,0.591,0.146,5.0,,,,0.0,0.0
16,Joel Przybilla,2012,MIL,0.25,0.8,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.25,,,,,0.0,0.0,0.0,,,,0.0,0.0
0,Jacob Pullen,2017,PHI,0.5,20.0,0.5,0.0,0.0,0.5,0.0,0.5,1.0,,,1.0,,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
0,Rodney Purvis,2017,ORL,0.327,18.6,0.514,0.121,0.047,0.103,0.243,0.486,0.4,0.538,0.4,0.364,0.346,0.25,0.591,0.009,0.0,0.846,0.288,0.2,1.0,0.0
0,Zhou Qi,2017,HOU,0.188,16.8,0.406,0.219,0.094,0.094,0.0,0.594,0.308,0.429,0.333,0.0,,0.105,0.75,0.031,1.0,1.0,0.158,0.333,0.0,0.0
1,Zhou Qi,2018,HOU,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,0.0,0.0
0,Tim Quarterman,2016,POR,0.448,14.5,0.552,0.207,0.103,0.103,0.138,0.448,0.5,0.667,0.667,0.0,0.5,0.385,0.125,0.034,1.0,0.8,0.077,0.0,0.0,0.0
1,Tim Quarterman,2017,HOU,0.333,18.7,0.333,0.0,0.333,0.0,0.0,0.667,1.0,,1.0,,,0.0,1.0,0.0,0.0,,0.0,,0.0,0.0
0,Chris Quinn,2006,MIA,0.366,16.8,0.565,0.168,0.13,0.061,0.206,0.435,0.378,0.273,0.588,0.125,0.407,0.351,0.179,0.0,0.0,0.75,0.053,0.333,1.0,0.0
1,Chris Quinn,2007,MIA,0.424,17.4,0.574,0.166,0.059,0.086,0.263,0.426,0.439,0.452,0.409,0.375,0.459,0.403,0.298,0.0,0.0,0.734,0.17,0.593,1.0,0.0
2,Chris Quinn,2008,MIA,0.408,17.9,0.526,0.131,0.083,0.083,0.228,0.474,0.408,0.395,0.333,0.5,0.409,0.409,0.339,0.0,0.0,0.821,0.204,0.429,0.0,0.0
3,Chris Quinn,2009,NJN,0.357,18.7,0.429,0.089,0.107,0.089,0.143,0.571,0.417,0.6,0.5,0.6,0.125,0.313,0.3,0.0,0.0,0.8,0.313,0.3,0.0,0.0
4,Chris Quinn,2010,SAS,0.363,17.7,0.593,0.077,0.176,0.132,0.209,0.407,0.407,0.571,0.438,0.5,0.263,0.297,0.5,0.0,0.0,0.818,0.405,0.4,1.0,0.0
5,Chris Quinn,2012,CLE,0.25,17.1,0.688,0.125,0.063,0.25,0.25,0.313,0.364,0.5,1.0,0.25,0.25,0.0,0.5,0.0,0.0,,0.2,0.0,0.0,0.0
0,Ivan Rabb,2017,MEM,0.566,7.5,1.0,0.461,0.145,0.151,0.243,0.0,0.566,0.686,0.409,0.478,0.486,,0.686,0.151,22.0,,,,0.0,0.0
1,Ivan Rabb,2018,MEM,0.547,7.6,0.929,0.429,0.269,0.09,0.142,0.071,0.574,0.692,0.596,0.526,0.2,0.2,0.664,0.108,22.0,1.0,0.4,0.0,0.0,0.0
0,Vladimir Radmanovic,2001,SEA,0.412,15.9,0.556,0.212,0.11,0.068,0.167,0.444,0.406,0.547,0.205,0.208,0.441,0.42,0.563,0.051,16.0,0.985,0.248,0.462,0.0,0.0
1,Vladimir Radmanovic,2002,SEA,0.41,16.4,0.561,0.181,0.121,0.073,0.186,0.439,0.453,0.678,0.321,0.327,0.371,0.355,0.629,0.042,26.0,0.933,0.29,0.318,3.0,0.0
2,Vladimir Radmanovic,2003,SEA,0.425,16.5,0.536,0.209,0.09,0.058,0.179,0.464,0.471,0.647,0.301,0.362,0.386,0.371,0.527,0.059,43.0,0.936,0.318,0.342,2.0,0.0
3,Vladimir Radmanovic,2004,SEA,0.409,17.3,0.494,0.202,0.083,0.054,0.157,0.506,0.43,0.588,0.278,0.314,0.353,0.389,0.486,0.048,30.0,0.969,0.225,0.351,3.0,0.0
4,Vladimir Radmanovic,2005,TOT,0.407,17.7,0.449,0.199,0.081,0.031,0.138,0.551,0.429,0.516,0.269,0.45,0.393,0.39,0.613,0.039,21.0,0.964,0.178,0.492,1.0,0.0
5,Vladimir Radmanovic,2005,SEA,0.401,17.4,0.49,0.198,0.099,0.034,0.159,0.51,0.436,0.513,0.289,0.385,0.443,0.367,0.634,0.039,13.0,0.972,0.122,0.625,1.0,0.0
6,Vladimir Radmanovic,2005,LAC,0.417,18.2,0.39,0.201,0.054,0.027,0.108,0.61,0.416,0.519,0.214,0.571,0.286,0.418,0.571,0.039,8.0,0.955,0.247,0.41,0.0,0.0
7,Vladimir Radmanovic,2006,LAL,0.424,13.1,0.627,0.323,0.127,0.07,0.108,0.373,0.475,0.569,0.55,0.227,0.265,0.339,0.606,0.028,9.0,0.95,0.356,0.476,0.0,0.0
8,Vladimir Radmanovic,2007,LAL,0.453,16.2,0.465,0.247,0.078,0.041,0.098,0.535,0.507,0.63,0.324,0.389,0.395,0.406,0.748,0.053,20.0,0.937,0.423,0.424,1.0,0.0
9,Vladimir Radmanovic,2008,TOT,0.421,18.0,0.438,0.18,0.071,0.06,0.127,0.562,0.446,0.619,0.273,0.393,0.322,0.401,0.626,0.039,16.0,0.971,0.37,0.402,3.0,0.0
10,Vladimir Radmanovic,2008,LAL,0.444,18.8,0.364,0.168,0.051,0.051,0.093,0.636,0.449,0.639,0.273,0.455,0.2,0.441,0.829,0.042,8.0,0.983,0.404,0.4,1.0,0.0
11,Vladimir Radmanovic,2008,CHA,0.401,17.3,0.5,0.19,0.087,0.067,0.155,0.5,0.444,0.604,0.273,0.353,0.385,0.357,0.5,0.036,8.0,0.956,0.333,0.405,2.0,0.0
12,Vladimir Radmanovic,2009,TOT,0.377,14.2,0.604,0.297,0.099,0.084,0.125,0.396,0.442,0.556,0.222,0.478,0.324,0.278,0.575,0.051,12.0,0.933,0.278,0.267,0.0,0.0
13,Vladimir Radmanovic,2009,CHA,0.333,16.1,0.476,0.286,0.048,0.048,0.095,0.524,0.35,0.417,0.5,0.5,0.0,0.318,0.429,0.0,0.0,1.0,0.318,0.286,0.0,0.0
14,Vladimir Radmanovic,2009,GSW,0.385,13.9,0.628,0.299,0.108,0.091,0.13,0.372,0.455,0.58,0.2,0.476,0.367,0.267,0.591,0.061,12.0,0.913,0.267,0.261,0.0,0.0
15,Vladimir Radmanovic,2010,GSW,0.431,16.8,0.456,0.223,0.097,0.044,0.091,0.544,0.462,0.634,0.355,0.143,0.31,0.405,0.522,0.041,13.0,0.957,0.277,0.458,0.0,0.0
16,Vladimir Radmanovic,2011,ATL,0.376,19.4,0.315,0.162,0.036,0.025,0.091,0.685,0.387,0.5,0.286,0.0,0.333,0.37,0.625,0.02,3.0,0.96,0.341,0.326,0.0,0.0
17,Vladimir Radmanovic,2012,CHI,0.302,17.3,0.372,0.233,0.07,0.023,0.047,0.628,0.5,0.6,0.333,0.0,0.5,0.185,0.625,0.023,1.0,1.0,0.481,0.231,0.0,0.0
0,Aleksandar Radojevic,2004,UTA,0.316,4.2,1.0,0.632,0.211,0.158,0.0,0.0,0.316,0.167,0.5,0.667,,,0.667,0.053,1.0,,,,0.0,0.0
0,Miroslav Raduljica,2013,MIL,0.54,4.0,1.0,0.571,0.333,0.056,0.04,0.0,0.54,0.667,0.429,0.286,0.0,,0.676,0.04,5.0,,,,0.0,0.0
